address,fuel,name,Longitude,Latitude,Time
"1738 6th St NW, Washington, DC 20001, USA",59,EC6551,-77.01995,38.91379,5/19/2017 11:12
"1738 6th St NW, Washington, DC 20001, USA",59,EC6551,-77.01995,38.91379,5/19/2017 12:23
"1735 P St NW, Washington, DC 20036, USA",56,EC6551,-77.04024,38.90968,5/19/2017 13:03
"1735 P St NW, Washington, DC 20036, USA",56,EC6551,-77.04024,38.90968,5/19/2017 13:23
"1745-1747 Willard St NW, Washington, DC 20009, USA",56,EC6551,-77.04018,38.91633,5/19/2017 13:43
"1745-1747 Willard St NW, Washington, DC 20009, USA",56,EC6551,-77.04018,38.91633,5/19/2017 13:53
"3600 14th St S, Arlington, VA 22206, USA",43,EC6554,-77.11198,38.84641,5/18/2017 13:36
"3600 14th St S, Arlington, VA 22206, USA",43,EC6554,-77.11198,38.84641,5/18/2017 15:17
"2948-2998 Washington Blvd, Arlington, VA 22201, USA",100,EC6554,-77.09364,38.88494,5/18/2017 16:03
"2948-2998 Washington Blvd, Arlington, VA 22201, USA",100,EC6554,-77.09364,38.88494,5/18/2017 16:23
"3800-3810 N Upland St, Arlington, VA 22207, USA",96,EC6554,-77.12799,38.91979,5/18/2017 16:49
"3800-3810 N Upland St, Arlington, VA 22207, USA",96,EC6554,-77.12799,38.91979,5/18/2017 18:20
"1223-1287 N Wayne St, Arlington, VA 22201, USA",93,EC6554,-77.08614,38.88796,5/18/2017 18:46
"1223-1287 N Wayne St, Arlington, VA 22201, USA",93,EC6554,-77.08614,38.88796,5/19/2017 13:53
"1811 24th St NE, Washington, DC 20002, USA",50,EC6556,-76.9721,38.91495,5/18/2017 13:57
"1811 24th St NE, Washington, DC 20002, USA",50,EC6556,-76.9721,38.91495,5/19/2017 0:42
"112 Taylor St NE, Washington, DC 20017, USA",46,EC6556,-77.00495,38.94082,5/19/2017 1:07
"112 Taylor St NE, Washington, DC 20017, USA",46,EC6556,-77.00495,38.94082,5/19/2017 13:53
"4717 MacArthur Blvd NW, Washington, DC 20007, USA",28,EC6558,-77.09273,38.91459,5/18/2017 13:36
"4717 MacArthur Blvd NW, Washington, DC 20007, USA",28,EC6558,-77.09273,38.91459,5/18/2017 15:28
"1161-1199 Shepherd Ct NW, Washington, DC 20001, USA",25,EC6558,-77.02497,38.90556,5/18/2017 16:13
"1161-1199 Shepherd Ct NW, Washington, DC 20001, USA",25,EC6558,-77.02497,38.90556,5/18/2017 16:38
"111 Varnum St NW, Washington, DC 20011, USA",21,EC6558,-77.01263,38.94337,5/18/2017 17:04
"111 Varnum St NW, Washington, DC 20011, USA",21,EC6558,-77.01263,38.94337,5/19/2017 11:02
"49-99 T St NW, Washington, DC 20001, USA",100,EC6558,-77.01136,38.91558,5/19/2017 12:38
"49-99 T St NW, Washington, DC 20001, USA",100,EC6558,-77.01136,38.91558,5/19/2017 12:38
"714 3rd St NE, Washington, DC 20002, USA",100,EC6558,-77.0021,38.89951,5/19/2017 12:58
"714 3rd St NE, Washington, DC 20002, USA",100,EC6558,-77.0021,38.89951,5/19/2017 13:53
"74 P St NW, Washington, DC 20001, USA",71,EC6560,-77.01137,38.90963,5/18/2017 13:57
"74 P St NW, Washington, DC 20001, USA",71,EC6560,-77.01137,38.90963,5/18/2017 16:13
"1501 Caroline St NW, Washington, DC 20009, USA",68,EC6560,-77.03494,38.9163,5/18/2017 16:54
"1501 Caroline St NW, Washington, DC 20009, USA",68,EC6560,-77.03494,38.9163,5/18/2017 19:11
"400-406 E St NE, Washington, DC 20002, USA",68,EC6560,-77.00028,38.89615,5/18/2017 19:52
"400-406 E St NE, Washington, DC 20002, USA",68,EC6560,-77.00028,38.89615,5/18/2017 21:29
"2141 New Hampshire Ave NW, Washington, DC 20009, USA",65,EC6560,-77.03517,38.91845,5/18/2017 22:19
"2141 New Hampshire Ave NW, Washington, DC 20009, USA",65,EC6560,-77.03517,38.91845,5/18/2017 22:25
"400 Taylor St NW, Washington, DC 20011, USA",62,EC6560,-77.01738,38.94098,5/18/2017 23:05
